n, l3_flops, l3_avg_time, dgemm (FLOPs), dgemm (GFLOPs)
16, 8960, 2.55222e-05, 351066914.3, 0.3510669143
32, 68608, 4.8934e-06, 1.402051743e+10, 14.02051743
64, 536576, 2.94424e-05, 1.822460126e+10, 18.22460126
128, 4243456, 0.0001901906, 2.231159689e+10, 22.31159689
256, 33751040, 0.0003863552, 8.735754042e+10, 87.35754042
512, 269221888, 0.0025184412, 1.06900208e+11, 106.900208
1024, 2150629376, 0.016384097, 1.312632229e+11, 131.2632229
2048, 17192452096, 0.1332630976, 1.290113498e+11, 129.0113498
4096, 137489285120, 0.9919560248, 1.38604214e+11, 138.604214
8192, 1099712954368, 7.647459289, 1.438010864e+11, 143.8010864
